事件序号,事件起始编号,事件终止编号,事件开始时间,事件结束时间,洗浴时间点,总用水时长,总停顿时长,停顿次数,平均停顿时长,用水时长,用水/总时长,总用水量,平均水流量,水流量波动,停顿时长波动
6,411,594,2014-10-19 15:34:38.500,2014-10-19 15:48:46.500,15,849.0,11.0,1.0,11.0,838.0,0.9870435806831567,564.9499999999994,0.6741646778042952,0.017910854305855983,0.0
8,660,766,2014-10-19 17:23:20.500,2014-10-19 17:34:36.500,17,677.0,83.0,2.0,41.5,594.0,0.8774002954209749,303.3333333333335,0.5106621773288442,0.13257396939292282,1640.25
9,773,923,2014-10-19 17:46:20.500,2014-10-19 17:55:04.500,17,525.0,0.0,0.0,0.0,525.0,1.0,222.6666666666667,0.42412698412698424,0.024561250980815585,0.0
10,1026,1135,2014-10-19 21:32:44.500,2014-10-19 21:42:01.500,21,558.0,54.0,1.0,54.0,504.0,0.9032258064516129,303.0999999999998,0.6013888888888885,0.010436044820448773,0.0
14,1346,1425,2014-10-20 07:22:53.500,2014-10-20 07:38:48.500,7,956.0,9.0,9.0,1.0,947.0,0.9905857740585774,724.416666666667,0.7649595212953189,5.866888598736792,0.0
17,1482,1533,2014-10-20 19:13:44.500,2014-10-20 19:17:51.500,19,248.0,0.0,0.0,0.0,248.0,1.0,128.68333333333334,0.5188844086021506,0.015321337227913494,0.0
18,1572,1633,2014-10-20 19:47:58.500,2014-10-20 19:53:35.500,19,338.0,2.0,2.0,1.0,336.0,0.9940828402366864,194.43333333333325,0.5786706349206346,0.16043154592014813,0.0
20,1660,1761,2014-10-20 21:46:21.500,2014-10-20 21:55:11.500,21,531.0,54.0,1.0,54.0,477.0,0.8983050847457628,251.46666666666655,0.5271837875611458,0.015412644071285038,0.0
24,2069,2208,2014-10-21 16:04:17.500,2014-10-21 16:14:13.500,16,597.0,4.0,4.0,1.0,593.0,0.9932998324958124,209.43333333333337,0.35317594154019116,0.0255364201052524,0.0
25,2221,2382,2014-10-21 16:23:06.500,2014-10-21 16:41:11.500,16,1086.0,355.0,3.0,118.33333333333333,731.0,0.6731123388581952,261.5333333333332,0.3577747378020974,0.006855927503387753,3530.558998435055
28,2455,2529,2014-10-21 18:49:41.500,2014-10-21 18:56:23.500,18,403.0,2.0,2.0,1.0,401.0,0.9950372208436724,183.0499999999998,0.4564837905236903,0.06086779009435637,0.0
30,2547,2616,2014-10-21 19:50:01.500,2014-10-21 19:55:11.500,19,311.0,0.0,0.0,0.0,311.0,1.0,152.25000000000003,0.4895498392282959,0.010782246153628276,0.0
31,2719,2854,2014-10-21 21:36:21.500,2014-10-21 21:47:13.500,21,653.0,100.0,1.0,100.0,553.0,0.8468606431852986,275.36666666666673,0.4979505726341171,0.025103000773004116,0.0
40,3352,3467,2014-10-22 19:54:35.500,2014-10-22 20:04:00.500,19,566.0,2.0,2.0,1.0,564.0,0.9964664310954063,305.9000000000002,0.542375886524823,0.05247769039615488,0.0
41,3473,3520,2014-10-22 20:14:03.500,2014-10-22 20:17:52.500,20,230.0,0.0,0.0,0.0,230.0,1.0,102.08333333333333,0.4438405797101449,0.0006787542350437887,0.0
42,3570,3697,2014-10-22 21:58:04.500,2014-10-22 22:09:46.500,21,703.0,106.0,1.0,106.0,597.0,0.8492176386913229,335.7333333333333,0.5623673925181463,0.008198618761175332,0.0
47,4017,4085,2014-10-23 20:18:36.500,2014-10-23 20:24:50.500,20,375.0,2.0,2.0,1.0,373.0,0.9946666666666667,162.88333333333327,0.43668453976764954,0.04930996708440046,0.0
49,4130,4188,2014-10-23 21:46:48.500,2014-10-23 21:50:57.500,21,250.0,0.0,0.0,0.0,250.0,1.0,124.93333333333332,0.4997333333333333,0.016939474915555554,0.0
50,4212,4310,2014-10-23 22:01:31.500,2014-10-23 22:09:10.500,22,460.0,58.0,1.0,58.0,402.0,0.8739130434782608,292.33333333333326,0.7271973466003315,1.5659466986084722,0.0
54,4904,4971,2014-10-24 21:41:43.500,2014-10-24 21:47:59.500,21,377.0,1.0,1.0,1.0,376.0,0.9973474801061007,207.2166666666667,0.5511081560283688,0.042320817748164735,0.0
55,4974,5121,2014-10-24 21:55:15.500,2014-10-24 22:05:52.500,21,638.0,123.0,1.0,123.0,515.0,0.8072100313479624,300.48333333333346,0.5834627831715213,0.11195438631566286,0.0
56,5124,5159,2014-10-24 22:19:25.500,2014-10-24 22:22:13.500,22,169.0,0.0,0.0,0.0,169.0,1.0,110.43333333333332,0.6534516765285996,0.005353225426294407,0.0
58,6237,6396,2014-10-25 15:45:02.500,2014-10-25 15:55:09.500,15,608.0,0.0,0.0,0.0,608.0,1.0,294.7666666666665,0.48481359649122774,0.032897392040968955,0.0
59,6450,6551,2014-10-25 16:47:44.500,2014-10-25 16:55:26.500,16,463.0,0.0,0.0,0.0,463.0,1.0,247.21666666666692,0.5339452843772504,0.0160756935320511,0.0
60,6626,6700,2014-10-25 19:33:39.500,2014-10-25 19:40:00.500,19,382.0,2.0,2.0,1.0,380.0,0.9947643979057592,204.8,0.5389473684210526,0.0695019014757577,0.0
61,6719,6771,2014-10-25 20:40:09.500,2014-10-25 20:44:05.500,20,237.0,0.0,0.0,0.0,237.0,1.0,103.08333333333333,0.4349507735583685,0.001642320309271605,0.0
62,6785,6882,2014-10-25 21:52:26.500,2014-10-25 22:00:02.500,21,457.0,40.0,1.0,40.0,417.0,0.912472647702407,242.5999999999999,0.5817745803357312,0.03610592553509254,0.0
65,7356,7476,2014-10-26 16:33:15.500,2014-10-26 16:43:02.500,16,588.0,2.0,2.0,1.0,586.0,0.9965986394557823,301.28333333333353,0.5141353811149036,0.052982284167331396,0.0
68,7607,7702,2014-10-26 20:36:33.500,2014-10-26 20:43:54.500,20,442.0,0.0,0.0,0.0,442.0,1.0,152.06666666666663,0.34404223227752634,0.0055803923843583125,0.0
69,7717,7888,2014-10-26 21:27:32.500,2014-10-26 21:45:01.500,21,1050.0,186.0,2.0,93.0,864.0,0.8228571428571428,342.8499999999998,0.3968171296296294,0.016432671896030385,6724.0
74,8617,8778,2014-10-27 20:10:14.500,2014-10-27 20:20:31.500,20,618.0,0.0,0.0,0.0,618.0,1.0,284.45000000000033,0.4602750809061494,0.03342779406475723,0.0
75,8823,8870,2014-10-27 20:45:21.500,2014-10-27 20:49:50.500,20,270.0,0.0,0.0,0.0,270.0,1.0,118.41666666666669,0.43858024691358033,0.06631002147933643,0.0
76,8891,8986,2014-10-27 21:59:04.500,2014-10-27 22:07:26.500,21,503.0,102.0,1.0,102.0,401.0,0.7972166998011928,247.18333333333337,0.6164172901080632,0.08021692027727582,0.0
80,9275,9333,2014-10-29 19:53:03.500,2014-10-29 19:59:56.500,19,414.0,1.0,1.0,1.0,413.0,0.9975845410628019,234.91666666666677,0.5688054882970139,0.048881793692176545,0.0
81,9342,9393,2014-10-29 20:37:48.500,2014-10-29 20:41:39.500,20,232.0,0.0,0.0,0.0,232.0,1.0,110.81666666666663,0.47765804597701134,0.007787714556254867,0.0
82,9422,9503,2014-10-29 22:05:40.500,2014-10-29 22:14:10.500,22,511.0,1.0,1.0,1.0,510.0,0.9980430528375733,215.4333333333332,0.4224183006535945,0.019483750769563244,0.0
83,9506,9508,2014-10-29 22:20:06.500,2014-10-29 22:23:23.500,22,198.0,1.0,1.0,1.0,197.0,0.9949494949494949,26.133333333333333,0.1326565143824027,6.022524269835589e-07,0.0
87,9835,9974,2014-10-30 17:13:39.500,2014-10-30 17:25:29.500,17,711.0,0.0,0.0,0.0,711.0,1.0,354.3500000000003,0.49838255977496526,0.022633081992464783,0.0
88,9993,10089,2014-10-30 17:34:43.500,2014-10-30 17:40:20.500,17,338.0,0.0,0.0,0.0,338.0,1.0,207.5499999999998,0.6140532544378693,0.0030133489848054905,0.0
92,10241,10312,2014-10-30 20:21:58.500,2014-10-30 20:27:47.500,20,350.0,1.0,1.0,1.0,349.0,0.9971428571428571,195.5,0.5601719197707736,0.04706487737586882,0.0
93,10330,10366,2014-10-30 21:31:14.500,2014-10-30 21:34:24.500,21,191.0,0.0,0.0,0.0,191.0,1.0,49.250000000000014,0.25785340314136135,0.0002973818449470912,0.0
94,10376,10510,2014-10-30 21:59:33.500,2014-10-30 22:13:24.500,21,832.0,156.0,3.0,52.0,676.0,0.8125,413.9999999999998,0.6124260355029583,0.021885879686075638,332.47435897435895
96,10523,10525,2014-10-31 07:01:45.500,2014-10-31 07:04:31.500,7,167.0,1.0,1.0,1.0,166.0,0.9940119760479041,22.133333333333333,0.13333333333333333,0.0,0.0
100,10600,10709,2014-10-31 19:40:34.500,2014-10-31 19:48:51.500,19,498.0,1.0,1.0,1.0,497.0,0.9979919678714859,256.81666666666683,0.5167337357478206,0.03464966992303609,0.0
101,10721,10786,2014-10-31 20:35:36.500,2014-10-31 20:40:29.500,20,294.0,0.0,0.0,0.0,294.0,1.0,123.9333333333333,0.4215419501133785,0.0007707716984192406,0.0
102,10792,10918,2014-10-31 22:07:12.500,2014-10-31 22:16:08.500,22,537.0,87.0,1.0,87.0,450.0,0.8379888268156425,344.48333333333346,0.7655185185185188,0.009878384249352234,0.0
106,11209,11320,2014-11-01 15:59:13.500,2014-11-01 16:07:33.500,15,501.0,0.0,0.0,0.0,501.0,1.0,265.1000000000002,0.5291417165668667,0.01706493368218324,0.0
107,11383,11470,2014-11-01 17:25:04.500,2014-11-01 17:32:21.500,17,438.0,0.0,0.0,0.0,438.0,1.0,174.89999999999995,0.39931506849315057,0.01727590287161589,0.0
108,11491,11566,2014-11-01 18:26:53.500,2014-11-01 18:31:45.500,18,293.0,4.0,1.0,4.0,289.0,0.9863481228668942,141.3833333333333,0.4892156862745097,0.014428556889883976,0.0
110,11660,11843,2014-11-01 22:26:07.500,2014-11-01 22:40:14.500,22,848.0,98.0,1.0,98.0,750.0,0.8844339622641509,370.416666666667,0.4938888888888894,0.008765193004115233,0.0
111,12143,12358,2014-11-02 17:30:38.500,2014-11-02 17:47:28.500,17,1011.0,166.0,1.0,166.0,845.0,0.8358061325420376,587.2833333333333,0.6950098619329388,0.01991126983755383,0.0
112,12414,12421,2014-11-02 18:09:40.500,2014-11-02 18:11:40.500,18,121.0,2.0,2.0,1.0,119.0,0.9834710743801653,30.466666666666665,0.2560224089635854,0.1018049803543101,0.0
114,12490,12593,2014-11-02 23:17:32.500,2014-11-02 23:29:04.500,23,693.0,1.0,1.0,1.0,692.0,0.9985569985569985,402.2833333333337,0.5813342967244707,0.006301623782774079,0.0
117,12891,13198,2014-11-03 22:02:02.500,2014-11-03 22:25:53.500,22,1432.0,277.0,2.0,138.5,1155.0,0.8065642458100558,496.73333333333386,0.43007215007215055,0.012953921540646682,1980.25
118,13221,13265,2014-11-03 22:41:55.500,2014-11-03 22:45:32.500,22,218.0,0.0,0.0,0.0,218.0,1.0,95.50000000000001,0.4380733944954129,0.002672739696691476,0.0
119,13268,13289,2014-11-03 22:50:49.500,2014-11-03 22:55:18.500,22,270.0,91.0,2.0,45.5,179.0,0.662962962962963,112.11666666666667,0.6263500931098697,0.08964869605402184,1980.25
122,13645,13725,2014-11-04 21:19:52.500,2014-11-04 21:25:32.500,21,341.0,0.0,0.0,0.0,341.0,1.0,178.10000000000005,0.5222873900293257,0.006478653976012303,0.0
123,13731,13905,2014-11-04 21:35:25.500,2014-11-04 21:51:15.500,21,951.0,263.0,2.0,131.5,688.0,0.7234490010515248,395.51666666666694,0.5748788759689927,0.03133102513697315,2862.25
126,14084,14237,2014-11-05 15:01:38.500,2014-11-05 15:15:00.500,15,803.0,142.0,1.0,142.0,661.0,0.8231631382316313,398.16666666666646,0.6023701462430657,0.03242603399706952,0.0
127,14271,14439,2014-11-05 15:26:26.500,2014-11-05 15:36:59.500,15,634.0,0.0,0.0,0.0,634.0,1.0,271.9000000000004,0.42886435331230344,0.005055073060417693,0.0
131,14590,14686,2014-11-05 20:09:11.500,2014-11-05 20:15:08.500,20,358.0,0.0,0.0,0.0,358.0,1.0,170.83333333333346,0.47718808193668566,0.008267123307309691,0.0
133,14712,14826,2014-11-05 21:35:45.500,2014-11-05 21:45:40.500,21,596.0,83.0,1.0,83.0,513.0,0.860738255033557,218.93333333333325,0.42677063027940204,0.02159391402900904,0.0
138,15418,15473,2014-11-06 21:14:01.500,2014-11-06 21:17:46.500,21,226.0,0.0,0.0,0.0,226.0,1.0,114.4666666666667,0.5064896755162244,0.006408228261153315,0.0
139,15489,15687,2014-11-06 21:35:27.500,2014-11-06 21:52:40.500,21,1034.0,289.0,2.0,144.5,745.0,0.7205029013539652,288.11666666666645,0.3867337807606261,0.00594491842729941,4692.25
143,16062,16163,2014-11-07 20:44:22.500,2014-11-07 20:54:53.500,20,632.0,1.0,1.0,1.0,631.0,0.9984177215189873,235.11666666666682,0.37260961436872714,0.0366897404528802,0.0
145,16187,16236,2014-11-07 21:08:02.500,2014-11-07 21:18:07.500,21,606.0,138.0,7.0,19.714285714285715,468.0,0.7722772277227723,303.0499999999999,0.6475427350427349,1.045333971737593,8762.348713398404
146,16238,16365,2014-11-07 21:47:02.500,2014-11-07 21:59:00.500,21,719.0,207.0,3.0,69.0,512.0,0.7121001390820584,252.38333333333327,0.49293619791666654,0.02050932585365242,761.7971014492754
149,16566,16582,2014-11-08 08:46:21.500,2014-11-08 08:49:16.500,8,176.0,2.0,2.0,1.0,174.0,0.9886363636363636,69.63333333333333,0.40019157088122603,0.7348588857352713,0.0
154,16789,16901,2014-11-08 22:05:49.500,2014-11-08 22:14:02.500,22,494.0,0.0,0.0,0.0,494.0,1.0,289.3666666666667,0.5857624831309042,0.00882801669483703,0.0
155,16952,17048,2014-11-08 22:36:26.500,2014-11-08 22:50:04.500,22,819.0,389.0,2.0,194.5,430.0,0.525030525030525,213.86666666666682,0.49736434108527167,0.027762512790627823,420.25
164,17998,18142,2014-11-10 15:49:11.500,2014-11-10 16:01:13.500,15,723.0,0.0,0.0,0.0,723.0,1.0,327.21666666666675,0.4525818349469803,0.012220714641927734,0.0
165,18199,18325,2014-11-10 16:25:26.500,2014-11-10 16:36:11.500,16,646.0,68.0,1.0,68.0,578.0,0.8947368421052632,301.3666666666667,0.5213956170703575,0.014992945224148752,0.0
167,18406,18453,2014-11-10 18:52:18.500,2014-11-10 19:03:16.500,18,659.0,300.0,5.0,60.0,359.0,0.5447647951441578,154.86666666666665,0.4313834726090993,0.19382784783645546,12515.12
169,18535,18745,2014-11-10 21:38:28.500,2014-11-10 22:00:46.500,21,1339.0,434.0,3.0,144.66666666666666,905.0,0.6758775205377147,409.51666666666637,0.45250460405156506,0.014273358715742292,7683.071172555044
